viral_phage_gene_fraction,ratio.virus.bacteria,score
0,0.0553844713,0
0,0.0516936745,0
0,0.0991006273,0
0,0.0650330426,0
0,0.0822232599,0
0,0.0590433613,0
0,0.6382621929,0
0,0.3495066767,0
0,0.1083216819,0
0,0.0437913384,0
0,0.1027502925,0
0,0.1528174317,0
0,NA,0
0,0.162270957,0
0,0.0883121796,0
0,0.0756107159,0
0,0.0810035924,0
0,0.1821184216,0
0,0.0997494357,0
0,0.0398401393,0
0,0.1861009577,0
0,0.5385964834,0
0,0.053770258,0
0,0.0492146845,0
0,0.2478770757,0
0,0.1732068486,0
0,0.4465497453,0
0,0.0614747011,0
0,0.0700074072,0
0,0.1023844638,0
0,0.0703409664,0
0,0.1277733736,0
0,0.1469750533,0
0,0.0905786873,0
0,0.0649615508,0
0,0.1314894921,0
0,0.0535338186,0
0,0.0462602142,0
0,0.0460064252,0
0,0.0654864107,0
0,0.115235897,0
0,0.059654271,0
0,0.196728309,0
0,0.1260819842,0
0,0.0443015694,0
0,0.0725117587,0
0,NA,0
0,0.1446234524,0
0,0.7838035332,0
0,0.1245878513,0
0,0.0911261297,0
0,0.2884817014,0
0,0.0509250526,0
0,0.1141246291,0
0,0.0655427429,0
0,0.150640087,0
0,0.1045253613,0
0,0.0872498525,0
0,NA,0
0,0.6452430955,0
0,0.1147889575,0
0,0.0713278932,0
0,0.6943086939,0
0,0.1385974752,0
0,0.0774083038,0
0,0.1553363008,0
0,0.06315178,0
0,0.0726457296,0
0,0.1182119018,0
0,0.0516955213,0
0,0.0767256797,0
0,0.0861586525,0
0,0.1358696032,0
0,0.1168986843,0
0,0.2084251571,0
0,0.3216698617,0
0,0.1134460287,0
0,0.6649546981,0
